Name,Ort,Webseite,Twitter,Kurzbeschreibung,Experimentierfelder,Finanzierung
SoundTicker,"München, Kirchseeon",https://soundticker.com/,SoundtickerDE,Deine Musik. Deine Nachrichten. Dein persönlicher Mix! Jederzeit in einer App. - Hör nur was Du willst!,"Technology, Business Model",Venture Capital
SourceFabric,Berlin,https://www.sourcefabric.org/,@sourcefabric,Open Source Tools for Journalism,"Technology, Funding",
Spaactor,Bremen,https://www.spaactor.com,@spaactor,"Suchmaschine für Gesprochenes. Spaactor beschäftigt sich als Internet Suchmaschine mit öffentlich verfügbaren gesprochenen Inhalten aus Mediatheken, Youtube, Podcasts, Radio und Fernsehen. Somit ist Spaactor eine übergreifende Video Suchmaschine, eine Podcast Suchmaschine und eine Mediatheken Suchmaschine.",Technology,
Spectrm,Berlin,"https://spectrm.io, https://newsinitiative.withgoogle.com/dnifund/dni-projects/spectrmpublishing/",@Spectrm_,Spectrm is a conversational AI platform that enables brands to have 1:1 conversations on messaging apps.,"Technology, Audience Relationship",Grant
Spiegel Techlab,Hamburg,https://www.spiegel-techlab.de/,,"Die SPIEGEL Tech Lab GmbH ist ein Tochterunternehmen der SPIEGEL-Verlagsgruppe mit Sitz in Hamburg. Als zentrale Einheit konzipieren und entwickeln wir die Mobil- und Web-Angebote der Verlagsgruppe. Wir sind ein Team von Designern, Entwicklern und Projektmanagern. Gemeinsam identifizieren wir Konzepte, erforschen Möglichkeiten und definieren Ziele. Damit schaffen wir die Voraussetzungen, um effektive und relevante Lösungen zu entwickeln.",Technology,Misc. funding
Spree,Nürnberg,"https://www.iis.fraunhofer.de/de/ff/lv/lok/proj/holodeck.html
https://holodeckvr.co",@HolodeckVR,"Holodeck 4.0: Virtual Reality und modernste Sensortechnologien eröffnen neue Wege, sich in einem virtuellen Raum zu bewegen. Das Team von Holodeck 4.0 hat am Fraunhofer-Institut für integrierte Schaltungen IIS eine Technologie entwickelt, mit der sich der Besucher frei bewegen und in das Geschehen eintauchen kann. Der Nutzer wird selbst zum Akteur, kann die neuesten interaktiven Spiele erkunden oder Kulturstätten der Vergangenheit bereisen. Im Media Lab wollen Jonathan Nowak, Dr. Stephan Otto und Christian Daxer diese Technologie nun auch im Journalismus ausprobieren.","Technology, Audience Relationship",Grant
Steady,Berlin,https://steadyhq.com,@joinsteady,Steady enables digital publishers to monetise their content by building a revenue stream from subscriptions.,"Technology, Busines Model",Grant
Stefan Ottlitz,Hamburg,,@hierprivat,"Stefan Ottlitz (formerly Plöchinger), born in 1976, has been Product Manager of the SPIEGEL Group since 2018. Previously he was editor-in-chief of SZ.de and member of the editorial board of the Süddeutsche Zeitung, editor-in-chief of SPIEGEL ONLINE, editor of the Financial Times Deutschland and the Münchener Abendzeitung.","Technology, Content",Employed
Stern Crime,Hamburg,https://stern-crime.de,@DiGrazia_,"Der ""Stern""-Ableger ""Crime"" erzählt die Geschichten wahrer Verbrechen.",Content,
Storymachine,Berlin,https://storymachine.com,@jessenphil,"Wenn sich zwei bunte Hunde der Medienszene mit einem weithin bekannten Eventmanager für ein Startup zusammentun, ist ihnen die Aufmerksamkeit der Branche gewiss. Doch auch eineinhalb Jahre nachdem Ex-Bild-""Babo"" Kai Diekmann, der frühere stern.de-Chef Philipp Jessen und PR-Profi Michael Mronz ihre Agentur gründeten, ist über Storymachine nur wenig bekannt. Über Kunden spricht man nicht, lautet die Devise. CEO Philipp Jessen nennt gegenüber MEEDIA die Gründe für diese ungewöhnliche Firmenpolitik und sein größtes Problem: die richtigen Mitarbeiter zu finden.",Business Model,
Storypepper,Hamburg,Grant,@cutnut_official,The Cutnut Story Editor is the easiest solution to create and share vertical stories for publishers and brands. One tool for social media and AMP Stories.,Technology,Grant
Straight,Berlin,https://www.straight-universe.com,@straight,We are celebrating Female Queerness,Content,
Straßengezwitscher,Dresden,https://strassengezwitscher.de,@streetcoverage,"Twitter-Projekt. Reportagen und Liveticker von dort, wo es brennt. Gegen Rassismus und Fremdenfeindlichkeit.",Content,Crowdfunding
tactile.news,Lüneburg,"https://tactile.news, https://miz-babelsberg.de/tactile-news-cms",@FrauCsu,"Mit tactile.news entwickeln wir eine innovative Audio-Nachrichtenplattform für Kinder zwischen vier und zwölf Jahren. Wir wollen journalistischen Inhalten den Weg zurück ins Kinderzimmer ebnen – mithilfe von vernetzten Spielfiguren. Denn digitaler Kinder-Content gehört auf Kindergeräte, finden wir. Wir wollen digitales Erzählen, ohne das Risiko des Abhörens oder Ausspionierens, ermöglichen.","Technology, Content",Grant
Tagesspiegel Background,Berlin,https://background.tagesspiegel.de/,@tagesspiegel,"Lesen Sie die exklusiven Entscheider-Briefings zu ""Digitalisierung & KI"", ""Energie & Klima"" sowie ""Mobilität & Transport"". Das bietet Tagesspiegel Background mit seinen großen Experten-Redaktionen. Erhalten Sie exklusive, aktuelle Hintergrundinformationen für die hohen Ansprüche von Entscheidern. Jeden Morgen per E-Mail. Vom Tagesspiegel, der Nr. 1 für Politik-Entscheider aus der Hauptstadt.","Content, Business Model",Misc. Capital
Tagesspiegel Innovation Lab,Berlin,https://www.tagesspiegel.de/themen/presseportal/personalie-tagesspiegel-startet-innovation-lab/23905018.html,"@plateauton
@rka","Tagesspiegel institutionalisiert sein Datenjournalismus-Team und nennt es nun Innovation Lab. Es besteht aus insgesamt fünf Redakteuren, Entwicklern und KI-Experten, Leiter ist Hendrik Lehmann. Das Team soll den ""Tagesspiegel"" auf die ""kanalübergreifende Zukunft des Journalismus"" vorbereiten und wurde bereits für seine Arbeit ""Radmesser"" ausgezeichnet. ","Technology, Content",Misc. Capital
Tagesspiegel Leute,Berlin,https://newsinitiative.withgoogle.com/dnifund/report/telling-local-stories/tagesspiegel-leute-making-local-news-work/,@TspLeute,Tagesspiegel LEUTE provides digital local news to subscribers in 12 districts of Berlin.,"Content, Business Model",Grant
Tame,Berlin,tame.it,@FrederikFischer,Das Google für Twitter: Jede Sekunde etwas Neues. Das ist Twitter. Die wichtigsten Tweets gebündelt zu Geschichten. Das ist Tame.,Technology,Misc. Capital
Teresa Bücker,Berlin,https://teresabuecker.de/,@fraeulein_tessa,"Teresa Bücker arbeitet, schreibt und spricht zu gesellschaftspolitischen Fragen der Gegenwart und Zukunft. Auf Konferenzen, im Fernsehen und in Workshops diskutiert sie über den Wandel der Arbeitswelt (New Work, Leadership, Diversity), digitale Strategien für Journalismus und Politik, über Partizipation und Aktivismus, Gerechtigkeit, Repräsentation, Macht und sexuelle Selbstbestimmung. Immer aus einer feministischen Perspektive. Immer mit Blick auf Gestaltungsmöglichkeiten und Lust auf Veränderung. Ihre Diskussionsbeiträge sind so klug und klar, dass Spiegel Online über sie schrieb, „dass man sie am liebsten in jeder Sendung dabei hätte. Thema egal.“ Ihre Karriere begann 2008, als „der Freitag“ ihr Blog entdeckte und sie als Community-Chefin engagierte – Pionierarbeit. Anschließend beriet sie die SPD als Digitalstrategin – erst den Parteivorstand, dann die Bundestagsfraktion. Sie liebt den Beginn und den Aufbau neuer Organisationen, für ihre Arbeit als Chefredakteurin für das Frauenportal Edition F wurde sie 2017 als „Journalistin des Jahres“ ausgezeichnet. Seit Juni 2019 arbeitet sie als freie Journalistin und Beraterin.",Content,Employed
Textunes,Berlin,http://textunes.de,@textunesberlin,Textunes is the leading multi-device publishing Platform for publishers’ content on Smartphones and Tablet PCs.,"Technology, Business Model",
The Buzzard,"Leipzig, Esslingen am Neckar",https://thebuzzard.org,"@TheBuzzardOrg
@felixfrie
@Dario_Nassal","Unsere Redaktion trägt Medienstimmen vom ganzen Meinungsspektrum zusammen, die echtes Verständnis möglich machen.","Content, Business Model",Grant
The Master Graph,München,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/master-graph/, http://www.mediennetzwerk-bayern.de/16605/wissensgraph-die-quelle-der-wahrheit/, ippen-digital.de",@ID_gmbh,"Ippen Digital will seinen Lesern personalisierte Inhalte anbieten. Gleichzeitig soll die Recherche für Redakteure einfacher werden. Dazu baut das Münchner Unternehmen an einer zentralen, vernetzten Wissensdatenbank: The Master Graph. Die Graph-Technologie soll Datensilos aufbrechen und alles miteinander verbinden. „Wir wollen erfahren wie Inhalte aufgebaut, wie sie mit unseren Nutzern verknüpft sind, wo vertriebliche Informationen eine Rolle spielen“, führt Franz aus. Das große Ziel dahinter: ein „Local Knowledge Graph“, eine zentrale Wissensdatenbank. „Wir wollen uns von einer reinen Informations- zu einer Wissensplattform entwickeln. Die Graph-Technologie ist ein wesentlicher Baustein, um diesen evolutionären Schritt zu gehen.“",Technology,Grant
The Shotcaller,Berlin,https://theshotcaller.net,@TheShotcallerGG,"The Shotcaller combines high standards of traditional journalism with a huge passion for esports. As one main part of this mission, The Shotcaller goes beyond headlines and feeds them with real context to make esports more tangible for everybody. On the long path to nurture esports culture, The Shotcaller gives a voice to everybody, who is willing to partake in the public exchange of opinions surrounding esports",Content,
Thomas Knuewer,Düsseldorf,https://kpunktnull.de,@tknuewer,"Founder of digital consultancy @kpunktnull, Blogger at Indiskretion Ehrensache, co-founder of influencer award @goldeneblogger, podcaster with @leberschmerz.","Content, Organizational Structure",Employed
Thorsten Pannen,Hamburg,https://zeit.de,@isidorvonaltona,"Thorsten Pannen (Foto), 47, ist ab dem 1. Januar 2015 Leiter Produktentwicklung von ""Zeit Online"". Pannen wird in seiner neu geschaffenen Position ein Team von drei Mitarbeitern leiten.","Technology, Content",Employed
Tilo Jung,Berlin,https://jungundnaiv.de,"@TiloJung
@JungNaiv",Freier Chefredakteur | Free Editor-in-Chief since 1985 | Creator of @JungNaiv | Liebhaber jeder Regierung | Part of @AufwachenPod (EN/DE),"Content, Funding","Crowdfunded, donations"
Tincon,Berlin,https://tincon.org/,@tincon,"Guten Tag, wir sind die TINCON. Wir veranstalten Events mit und für Menschen zwischen 13 und 21. Es geht um Kultur, Technik, Games, Bildung, Science, YouTube, Code, Musik, Lifestyle, Politik und Gesellschaft. Also um alles. Aber vor allem um euch.",Content,
Tobias Köhler,Stuttgart,https://www.swmh.de/,@tokoe,"Corporate Entrepreneur bei der Südwestdeutschen Medienholding - dem Unternehmen hinter @sz, @stz_news, @wuv & many more.",Organizational Structure,Employed
Traffective,München,https://traffective.com,@traffective,"Anstatt einzelne Werbemarktplätze manuell in unterschiedlichen Systemen zu betreiben, ermöglicht die Technologie das Management und die Erfolgsmessung über ein zentrales System.",Technology,
Trend Recognition Module for the Listening Center,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/trend-recognition-module-listening-center/,@rpo_digitale,"Identifies topics that are relevant to each journalist and measures the social-impact of this url to find out, if this is either a global or a local trend and if it is going to be an important story within the next few hours or days. All journalists have personalized access to the Listening Center and can check out all trending topics that are relevant to their area of coverage. With data from 400 million news sources, the news ecosystem represents a huge challenge nowadays. Therefore, the Trend Recognition algorithm is needed to analyse, in real-time, all the relevant different sources.",Technology,Grant
Truly Media,"Bonn, Athen",https://truly.media,@trulymedia,"Collaborative online platform to find, organise & verify UGC. Find tricks & tips for #verification here. Initiative of @dw_innovation & @iLabATC","Technology, Audience Relationship",Grant
Übermedien,Berlin,https://uebermedien.de,"@uebermedien
@topfvollgold","Übermedien berichtet, Überraschung: über Medien. Seit Anfang 2016 setzen wir uns hier kontinuierlich mit der Arbeit von Journalistinnen und Journalisten auseinander. Medienportal von Stefan Niggemeier und Boris Rosenkranz.","Content, Funding",
Ubermetrics,Berlin,https://www.ubermetrics-technologies.com/,@ubermetrics,"uberMetrics Technologies is a technology provider for (social) media monitoring. The tool uberMetrics DELTA gathers data from public communication, extracts the relevant content for the client and makes it accessible in a SaaS-Tool for its analysis.",Technology,Venture Capital
Umatter.news,,https://umatter.news,"@umatternews
@stein_cedric","Plattform für strukturell unabhängigen Journalismus, bei dem der Leser entscheidet, was Schlagzeile macht.","Content, Audience Relationship",
Upday,Berlin,https://upday.com,@updayDE,"Unser Redaktionsteam stellt dir rund um die Uhr die Top News des Tages zusammen. So verpasst du kein wichtiges Ereignis und bist immer auf dem Laufenden. Die Redakteure fassen die Nachrichten kurz für dich zusammen. Wenn du mehr Hintergrundinformationen zum Geschehen möchtest, klicke einfach auf die Top News-Artikelkarte und lies den Originalartikel.",Technology,
Upspeak,Landau a.d.Isar,https://www.upspeak.de/de,@Upspeakapp,Dein Mentor im Ohr. Bring dein Leben aufs nächste Level mit der #1 kostenlosen Audio-Mentoring App für persönliche und berufliche Weiterentwicklung,"Technology, Business Model",Venture Capital
Varia,München,https://www.varia.media/,@variamediagroup,"Varia will die Filterblase zum platzen bringen — ganz einfach per Browser Extension. Zu jedem gelesenen Artikel aus digitalen Publikationen bietet Varia alternative Perspektiven und hilft Lesern so, sich ohne Mehraufwand umfassender zu informieren. Einseitige Informationen, die uns aufgrund von Algorithmen zugeteilt werden, fördern intolerantes und unkritisches Denken, glauben die Grüner. / At Varia, we are building a new kind of news platform with a simple but important vision: Making complementary information of high quality easily accessible and consumable for everyone.",Technology,Venture Capital
Versicherungsmonitor,Köln,https://versicherungsmonitor.de/,@VMonitor,Tägliche Nachrichten aus der Versicherungswirtschaft,"Content, Funding, Business Model",
VICE Deutschland,Berlin,https://www.vice.com/de,@Vice_Germany,"VICE ist ein werbefinanziertes und ursprünglich kanadisches Lifestyle- und Jugendmagazin. Die mittlerweile in New York ansässige Online- und Print-Zeitschrift besitzt mehrere Ableger in verschiedenen Ländern. Herausgeber ist das Unternehmen Vice Media. Die deutsche Ausgabe erscheint seit August 2005, die österreichische und schweizerische Ausgabe seit 2007. Die Zeitschrift beschäftigt sich hauptsächlich mit zeitgenössischer Jugendkultur, dabei beinhaltet es auch kontroverse Themen wie Sex, Drogen und Gewalt sowie länderübergreifend wichtige Sozialprobleme oder politische Konflikte. ""VICE ist ein unendlich expandierendes Kontinuum für investigativen Journalismus, unbequeme Sozialstudien und preisgekrönte Dokumentationen."" (Selbstbeschreibung)",Content,
Videovalis,Köln,https://www.videovalis.de/,@ReisenTV_VV,"Die Videovalis Media GmbH & Co. KG ist einer der führenden unabhängigen nationalen Online-Video-Dienstleister und verbindet hochwertigen Video-Inhalt, innovative Technologien und umfassende Video-Vermarktung. Publisher erhalten hochwertigen top-aktuellen Content, einen State-of-the-Art Player und den Zugang zu einem flexiblen Online-Redaktionssystem. ","Technology, Business Model",
Vivoico,München,http://www.vivoico.de/,"@vivoico
@Manu_Geitner","Wie kann man Expertenwissen mit der Redaktionsarbeit vernetzen? Mit dem Dienst ""Vivoico"" will Gründer Manuel Gaitner redaktionelle Inhalte mit Zusatzinformationen durch Experten versehen. ""So erhält der Nutzer zusätzlichen Mehrwert und die Publisher eine höhere Verweildauer auf ihren Seiten"", erklärt Gaitner. Ziel des Systems sei es, die Nutzer auf die eigene Seite zu bringen, anstelle sie auf sozialen Netzwerken anzusprechen.","Content, Business Model",Venture Capital
Vocer,Hamburg,https://www.vocer.org,@voiceofvocer,"VOCER (sprich: [ˈvoːkər]) ist das erste journalistische Internet-Projekt in Deutschland, das sich ausschließlich über Stiftungsgelder und Spenden finanziert. Es wird herausgegeben vom gemeinnützigen Verein für Medien- und Journalismuskritik (VfMJ), der sich für Vernetzung von Medienkritik und journalistische Nachwuchsförderung engagiert.",Funding,"Donations, endowments"
Volker Matthies,München,https://netzwerk-medien-trainer.de/team/volker-matthies/,@VolkerMatthies,"Volker Matthies ist medienübergreifend ausgebildeter Journalist. Seine Medienerfahrung speist sich aus Tätigkeiten als Hörfunk-Nachrichtenredakteur, Fernseh-Producer und -Moderator sowie Online-Autor und -CvD. In den letzten Jahren lag sein Schwerpunkt auf der Verantwortung von Crossmedia-Projekten und der Entwicklung medienübergreifender Strukturen. Im Bayerischen Rundfunk arbeitet er in der neu geschaffenen Informationsdirektion. Dort hat er das Storytelling-Tool 'Linius' erfunden. An der Harvard Business School (HBX) hat er ""Disruptive Strategy"" mit Prof. Clayton Christensen studiert. An der Universität Boston (edX) hat er ""Digital Transformation Strategy"" mit Prof. Venkat Venkatraman studiert. Sein Tätigkeitsschwerpunkt im netzwerk medien-trainer liegt auf der Begleitung strategischer Veränderungsprozesse. In Europa und den USA hat er mehr als 40 Newsroom-Modelle kennengelernt und analysiert. Als einer der Gründer des netzwerk medien-trainer ist er Beauftragter für das Qualitätsmanagement.","Business Model, Technology","Employed, Misc. Capital"
Volker Stollorz,Köln,https://sciencemediacenter.de,"@Stollovo
@smc_germany","#Wissenschaftsjournalist aus Leidenschaft. Redaktionsleiter #sciencemediacenter germany. My working ethic as a science journalist: Mind the gap please. / Science Media Center: ""Jeder hat Meinungen – wir suchen Argumente. Das Science Media Center liefert Journalisten fundierte Fakten und echte Expertisen aus der Wissenschaft. / Urteilskraft = Wissenschaft mal Journalismus zum Quadrat. So lautet die SMC-Formel.""","Content, Business Model",Employed
Vragments,Berlin,https://vragments.com,"@vragments
@Lynda420
@HelrenPDM","Das Berliner VR-Startup entwickelt journalistische VR-Projekte in Kooperation mit Redaktionen. Darüber hinaus entwickelt Vragments das VR-Produkt Fader, mit dem Journalisten schnell und einfach VR-Geschichten interaktiv produzieren und veröffentlichen können.","Content, Technology",
Wafana,München,https://wafana.de/,"@wafana_de
@Johanna_Wild",Wafana ist die erste digitale Fact-Checking-Agentur im deutschsprachigen Raum. Wir bieten Fortbildungen zur Verifikation von Online-Inhalten.,Business Model,Venture Capital
Webmag,"München, Berlin",https://webmag.io/,@webmag_io,"Der einfache Weg zum digitalen Content Marketing. Mit Webmag erstellen Sie digitale Sales- und Marketing-Materialien ganz einfach selbst – responsiv, interaktiv, messbar. Sie brauchen keine Designer, IT-Ressourcen oder Agenturen. Nur Content.",Technology,Venture Capital
Webtrekk,Berlin,https://www.webtrekk.com/,@webtrekk,"Webtrekk is a customer intelligence platform that allows you to connect, analyze and activate your user and marketing data across all devices",Technology,
What's hot,Düsseldorf,"https://videoguide-duesseldorf.de, 
https://www.journalismuslab.de/2018/07/19/hackathon-2018-team-whats-hot-im-interview/","@LauraRohrbeck
@Kleebart","„What‘s hot“ analysiert Twitter-, Instagram- und Facebook-Posts nach Schlagwörtern, Hashtags und Emojis und benutzt Geologging. Automatisch werden die Posts nach harten oder bunten Themen sortiert, etwa Missständen oder tollen Spontanpartys. Das ganze wird auf einer Karte angezeigt – in einer Art Heatmap. Als Lokaljournalist, aber auch als Influencer kann ich sehen, wo gerade etwas passiert oder wo in den vergangenen Tagen viel gepostet wurde.",Technology,Grant
Wolfgang Büchner,Berlin,,@wbuechner,"He worked for Deutsche Presse-Agentur.[1] From September 2013 to December 2014 Büchner was Editor-in-chief for German magazine Der Spiegel. Since July 1, 2015 he works for Swiss newspaper Blick. He is member of organisation Reporters Without Borders.",Organizational Structure,Employed?
Y-Kollektiv,Bremen,"http://sendefaehig.com/
https://www.youtube.com/channel/UCLoWcRy-ZjA-Erh0p_VDLjQ",@Y_Kollektiv,"Ein Netzwerk von jungen JournalistInnen. In unseren Web-Reportagen zeigen wir die Welt, wie wir sie erleben. Wir mögen subjektive, menschliche Geschichten.","Content, Organizational Structure",Public funding
Yeebase,Hannover,"https://yeebase.com
https://t3n.de","@yeebase
@t3n","Online- & Printmedien für Digitalarbeiter. yeebase media ist ein innovatives Medienunternehmen. Uns faszinieren neue Technologien, das Web und digitale Geschäftsmodelle. Darüber schreiben wir. Mit viel Liebe zum Detail.",Content,Misc. Capital
Zaubar,Berlin,https://zaubar.com,"@zaubarApp
@AnneSophiePunkt
@StefanMarx","Zaubar ist eine Publikationsplattform, mit der JournalistInnen ohne Vorerfahrung Augmented-Reality-Erlebnisse aus Multimediainhalten erstellen können.","Technology, Content","Grant, Venture Capital Firm"
Ze.tt,Hamburg,https://ze.tt/,@zett,"ze.tt ist die neue Online-Plattform für Geschichten, Ideen und Gefühle.",Content,Misc. Capital
